Timestamp,How refreshed did you wake up after your night of sleep?,"Is there anything important about or related to your night of sleep that might have affected your sleep quality? If yes, what?",Do you recall being awake for more than 10 minutes during the night?,"If you answered 'Yes' to the previous question, what did you do during this time?",Did anything in particular prevent you from sleeping earlier last night?,"If you answered ‘Yes’ to the previous question, what prevented you from sleeping earlier?",Did any external factors prevent you from sleeping better?,How did you wake up?,"How many minutes before bedtime did you stop exposing yourself to blue light? (bright phone, TV, etc)"
12/30/2022 9:45:11,5,,No,,Yes,Out with friends,Nothing,With an alarm,Less than 15 minutes
12/31/2022 7:51:07,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/1/2023 10:00:43,5,,Yes,I stayed in bed trying to sleep,Yes,nye with friends,Nothing,With an alarm,Less than 15 minutes
1/2/2023 7:27:30,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/3/2023 7:40:11,7,,No,,Yes,Family gathering ,Nothing,With an alarm,Less than 15 minutes
1/4/2023 8:27:38,7,I had to wake up to say goodbye to my sister,Yes,"I stayed in bed trying to sleep, I walked a bit",Yes,Packing luggages,Nothing,With an alarm,Less than 15 minutes
1/5/2023 8:10:26,6,,No,,Yes,Flight,Nothing,With an alarm,Less than 15 minutes
1/6/2023 8:20:00,6,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/7/2023 8:57:27,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/8/2023 8:43:00,8,,Yes,I stayed in bed trying to sleep,No,,Nothing,With an alarm,Less than 15 minutes
1/9/2023 7:37:07,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/10/2023 8:14:07,8,,No,,Yes,Friends,Nothing,With an alarm,Less than 15 minutes
1/11/2023 8:07:38,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/12/2023 8:06:58,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/13/2023 8:16:03,8,,No,,Yes,Overthinking ,Nothing,With an alarm,Less than 15 minutes
1/14/2023 8:50:07,7,,No,,Yes,Long train journey to get back home,Nothing,With an alarm,Less than 15 minutes
1/15/2023 8:55:41,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/16/2023 8:39:27,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/17/2023 8:35:13,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/18/2023 7:44:39,7,,No,,No,,Nothing,Naturally,Less than 15 minutes
1/19/2023 7:59:04,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/20/2023 7:45:56,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/21/2023 12:28:58,9,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/22/2023 8:56:57,6,,Yes,I stayed in bed trying to sleep,Yes,Being with a friend,Nothing,Naturally,Less than 15 minutes
1/23/2023 7:49:40,9,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/24/2023 7:41:30,9,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/25/2023 7:32:46,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/26/2023 7:32:58,8,,No,,Yes,Coming back home by train from spending time with friends ,Nothing,With an alarm,Less than 15 minutes
1/27/2023 7:25:14,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
1/28/2023 7:57:38,5,,No,,Yes,Out with a friend ,Nothing,Naturally,Less than 15 minutes
1/28/2023 7:59:40,5,,No,,Yes,Out with a friend,Nothing,Naturally,Less than 15 minutes
1/29/2023 7:42:06,7,,No,,Yes,Studies,Nothing,With an alarm,Less than 15 minutes
1/30/2023 8:09:04,8,,No,,No,,Nothing,Naturally,Less than 15 minutes
1/31/2023 7:35:04,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/1/2023 7:54:05,7,,Yes,I went to the toilet,No,,Temperature,With an alarm,Less than 15 minutes
2/2/2023 7:31:55,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/3/2023 7:36:13,8,,No,,No,,Nothing,Naturally,Less than 15 minutes
2/4/2023 7:48:12,9,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/5/2023 7:56:45,9,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/6/2023 7:09:37,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/7/2023 7:21:17,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/8/2023 7:14:53,9,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/9/2023 6:03:29,7,Had to wake up to catch a flight,No,,Yes,Friends gathering,"Nothing, Temperature",With an alarm,Less than 15 minutes
2/10/2023 10:04:00,7,,No,,Yes,Gathering with friends,Nothing,With an alarm,Less than 15 minutes
2/11/2023 10:10:38,8,,No,,Yes,Out with friends ,Nothing,With an alarm,Less than 15 minutes
2/13/2023 7:33:59,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/14/2023 7:10:52,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/15/2023 7:18:27,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/16/2023 9:52:38,9,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/18/2023 8:11:47,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/19/2023 7:52:00,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/20/2023 8:10:12,6,,Yes,I stayed in bed trying to sleep,Yes,Friends,Nothing,With an alarm,Less than 15 minutes
2/21/2023 7:33:25,8,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/22/2023 7:06:17,9,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/23/2023 7:34:22,9,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/24/2023 7:29:52,6,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/25/2023 7:45:40,7,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/26/2023 8:45:43,5,,No,,Yes,Birthday party,Nothing,With an alarm,Less than 15 minutes
2/27/2023 7:32:53,6,,No,,No,,Nothing,With an alarm,Less than 15 minutes
2/28/2023 7:43:29,6,,No,,Yes,Pubquiz evening ,Nothing,With an alarm,Less than 15 minutes
3/1/2023 7:40:46,7,,No,,Yes,Out with friend ,Temperature,With an alarm,Less than 15 minutes
