Timestamp,Did you wake up refreshed after your night of sleep?,Do you recall being awake for more than 10 minutes during the night?,"If you answered 'Yes' to the previous question, what did you do during this time?",Did anything in particular prevent you from sleeping earlier last night?,Did anything in particular prevent you from sleeping better?,How did you wake up?,"How many minutes before bedtime did you stop exposing yourself to blue light? (bright phone, TV, etc)","Is there anything important about or related to your night of sleep that was not covered in any of the questions in this questionnaire? If yes, what?"
8/26/2022 7:47:20,6,Yes,"I used a smart device (phone, laptop...)",No,Temperature,With an alarm,Less than 15 minutes,
8/28/2022 8:14:07,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
8/29/2022 8:32:30,7,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
8/30/2022 8:36:07,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
8/31/2022 8:24:18,7,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
9/1/2022 7:49:45,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/2/2022 8:02:49,7,No,,Yes,Nothing,Someone or something else woke me up,Less than 15 minutes,
9/3/2022 8:24:10,7,Yes,I stayed in bed trying to sleep,No,Nothing,Naturally,Less than 15 minutes,
9/4/2022 8:04:41,8,Yes,I stayed in bed trying to sleep,No,Nothing,With an alarm,Less than 15 minutes,
9/5/2022 7:06:10,7,No,,Yes,Nothing,Naturally,Less than 15 minutes,
9/6/2022 6:42:31,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/7/2022 7:36:36,8,Yes,I went to the toilet,No,Nothing,With an alarm,Less than 15 minutes,
9/8/2022 6:48:26,8,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
9/9/2022 6:53:58,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/10/2022 7:41:40,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/11/2022 8:06:27,8,Yes,I went to the toilet,No,Nothing,With an alarm,Less than 15 minutes,
9/12/2022 6:52:06,9,Yes,I went to the toilet,No,Nothing,With an alarm,Less than 15 minutes,
9/13/2022 6:42:51,7,Yes,I stayed in bed trying to sleep,No,Nothing,With an alarm,Less than 15 minutes,
9/14/2022 8:01:35,7,No,,Yes,Nothing,Naturally,Less than 15 minutes,
9/15/2022 7:42:45,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/16/2022 6:55:29,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/17/2022 8:13:33,8,No,,Yes,Nothing,Naturally,Less than 15 minutes,
9/18/2022 7:34:28,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/19/2022 6:48:21,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/20/2022 7:40:48,9,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/21/2022 7:12:03,9,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/22/2022 7:23:21,9,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
9/23/2022 8:00:58,8,Yes,I went to the toilet,Yes,Nothing,With an alarm,Less than 15 minutes,
9/24/2022 8:17:44,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/25/2022 7:34:57,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/26/2022 7:53:53,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/27/2022 7:23:20,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/28/2022 7:15:53,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/29/2022 7:33:28,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
9/30/2022 7:29:14,9,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/1/2022 7:53:44,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/2/2022 7:54:06,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/3/2022 7:09:23,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/4/2022 6:50:01,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/5/2022 7:46:13,9,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/6/2022 7:24:45,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/7/2022 7:40:38,8,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
10/8/2022 8:20:10,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/10/2022 8:11:56,8,Yes,I went to the toilet,No,Nothing,With an alarm,Less than 15 minutes,
10/11/2022 8:00:05,8,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
10/12/2022 7:39:48,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/13/2022 7:56:01,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/14/2022 7:43:28,8,Yes,I went to the toilet,No,Nothing,With an alarm,Less than 15 minutes,
10/15/2022 8:12:27,8,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
10/16/2022 9:57:09,7,Yes,I stayed in bed trying to sleep,Yes,Comfort,With an alarm,Less than 15 minutes,
10/17/2022 8:12:51,8,Yes,I stayed in bed trying to sleep,No,Nothing,With an alarm,Less than 15 minutes,
10/18/2022 8:03:09,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/19/2022 8:29:04,9,Yes,I went to the toilet,Yes,Nothing,With an alarm,Less than 15 minutes,
10/20/2022 7:43:52,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/21/2022 7:30:39,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/22/2022 7:37:23,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/23/2022 7:46:50,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/24/2022 7:52:11,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/25/2022 7:42:47,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/26/2022 8:07:00,8,No,,No,Nothing,Naturally,Less than 15 minutes,
10/27/2022 8:02:51,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/28/2022 8:20:54,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
10/29/2022 8:15:53,8,Yes,I stayed in bed trying to sleep,Yes,Nothing,Naturally,Less than 15 minutes,
10/30/2022 7:22:42,7,No,,No,Nothing,Naturally,Less than 15 minutes,
10/31/2022 8:09:39,9,No,,No,Nothing,With an alarm,Less than 15 minutes,
11/1/2022 6:55:55,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
11/2/2022 8:03:09,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
11/3/2022 8:04:34,8,Yes,I went to the toilet,No,Nothing,With an alarm,Less than 15 minutes,
11/4/2022 8:01:57,8,No,,No,Temperature,With an alarm,Less than 15 minutes,
11/5/2022 8:26:10,9,No,,No,Nothing,With an alarm,Less than 15 minutes,
11/6/2022 8:48:03,8,No,,Yes,Nothing,Naturally,Less than 15 minutes,
11/7/2022 8:03:24,7,No,,No,Nothing,Naturally,Less than 15 minutes,
11/8/2022 8:00:17,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
11/9/2022 7:51:28,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
11/10/2022 7:56:44,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
11/11/2022 8:57:10,8,No,,Yes,Nothing,With an alarm,15 to 30 minutes,
11/12/2022 12:15:16,5,No,,Yes,Nothing,Someone or something else woke me up,Less than 15 minutes,
11/14/2022 0:50:59,7,No,,Yes,Nothing,Someone or something else woke me up,15 to 30 minutes,
11/14/2022 8:43:16,7,No,,Yes,Temperature,With an alarm,Less than 15 minutes,
11/15/2022 8:09:19,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
11/16/2022 8:23:05,8,No,,No,Nothing,With an alarm,Less than 15 minutes,
11/17/2022 8:52:35,7,No,,Yes,Nothing,With an alarm,Less than 15 minutes,
11/18/2022 9:02:31,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
11/19/2022 8:38:57,6,No,,No,Nothing,With an alarm,Less than 15 minutes,
11/21/2022 8:08:09,7,No,,No,Nothing,With an alarm,Less than 15 minutes,
