Timestamp,"If you had coffee today, at what time did you take your last cup of coffee?","If you had alcohol today, at what time did you have your last drink?","If you did a workout today, at what time did your last workout end?","If you did a stress-relieving activity today (meditation, yoga, etc), at what time did you do your last one?",Did you take medication that might affect your sleep?,How much did you eat in the last 3 hours before going to bed?,How would you characterize the activities you did in the last 3 hours before going to bed?,How much stress and/or anxiety do you feel now?,Is there any particular reason why you think you might or might not sleep well tonight?
10/10/2022 21:15:43,2:00:00 PM,6:00:00 PM,,,Melatonin ,2,"Relaxed, Socially active",1,
10/11/2022 21:07:39,3:00:00 PM,6:30:00 PM,,,Melatonin ,2,Relaxed,1,
10/12/2022 20:59:09,3:00:00 PM,,4:30:00 PM,,Melatonin ,2,"Relaxed, Socially active",1,
10/13/2022 20:45:44,4:00:00 PM,,,,Melatonin ,1,"Relaxed, Socially active",1,
10/14/2022 21:22:18,1:00:00 PM,5:30:00 PM,4:30:00 PM,,Melatonin ,1,"Relaxed, Socially active",1,
10/15/2022 22:34:20,4:00:00 PM,6:00:00 PM,,,Melatonin ,2,Socially active,0,
10/16/2022 21:19:26,3:00:00 PM,,12:30:00 PM,,Melatonin ,1,Relaxed,1,
10/17/2022 20:51:25,2:00:00 PM,5:30:00 PM,,,Melatonin ,2,Relaxed,2,
10/18/2022 21:02:15,3:00:00 PM,5:00:00 PM,,,Melatonin ,1,Relaxed,2,
10/20/2022 20:45:19,2:30:00 PM,5:30:00 PM,,,Melatonin ,2,Relaxed,1,
10/21/2022 21:23:27,1:00:00 PM,5:30:00 PM,,,Melatonin ,1,Relaxed,1,
10/22/2022 21:04:21,2:00:00 PM,,5:30:00 PM,7:00:00 PM,Melatonin ,2,Relaxed,1,
10/23/2022 21:18:16,3:30:00 PM,,5:30:00 PM,7:30:00 PM,Melatonin ,1,Relaxed,1,Rather late work and sport at tv at bedtime
10/24/2022 20:56:43,2:00:00 PM,6:00:00 PM,,,Melatonin ,2,"Relaxed, Stressful, Socially active",0,
10/25/2022 21:20:34,,5:30:00 PM,11:30:00 AM,,Melatonin ,1,"Relaxed, Socially active",1,
10/26/2022 20:58:01,3:00:00 PM,,,,Melatonin ,1,Relaxed,1,
10/27/2022 22:13:27,2:00:00 PM,5:30:00 PM,1:30:00 PM,,Melatonin ,1,Relaxed,1,
10/28/2022 21:18:28,12:00:00 PM,6:00:00 PM,,,Melatonin ,2,Socially active,1,
10/29/2022 22:04:15,2:00:00 PM,5:00:00 PM,1:00:00 PM,,Melatonin ,1,"Socially active, Visitors made me go to bed later",2,
10/30/2022 20:09:47,11:30:00 AM,,,,Melatonin ,1,Relaxed,1,
10/31/2022 20:54:05,3:00:00 PM,,6:15:00 PM,,Melatonin ,2,Relaxed,2,
11/1/2022 21:11:05,3:00:00 PM,6:00:00 PM,,,Melatonin ,2,Stressful,2,Worked late
11/3/2022 4:27:26,2:00:00 PM,5:30:00 PM,,,Melatonin,1,Relaxed,1,
11/3/2022 21:21:20,2:00:00 PM,6:00:00 PM,,,Melatonin ,1,Relaxed,1,
11/4/2022 21:34:50,2:00:00 PM,,1:30:00 PM,,Melatonin ,2,Relaxed,1,
11/5/2022 21:23:51,3:00:00 PM,5:30:00 PM,1:30:00 PM,,Melatonin ,2,Relaxed,1,
11/6/2022 21:12:28,1:09:00 PM,7:00:00 PM,,,Melatonin ,3,Socially active,1,"Late home, late melatonin "
11/7/2022 21:13:01,1:00:00 PM,5:30:00 PM,,,Melatonin ,1,"Relaxed, Socially active",1,Took a bath just before bedtime
11/8/2022 21:12:27,2:00:00 PM,,6:00:00 PM,,Melatonin ,1,Relaxed,1,
11/9/2022 21:15:15,3:30:00 PM,5:30:00 PM,,,Melatonin ,3,"Relaxed, Socially active",1,Late restaurant dinner
11/10/2022 20:17:19,2:00:00 PM,6:00:00 PM,,,Melatonin ,2,Relaxed,0,
11/11/2022 20:59:03,2:30:00 PM,,5:00:00 PM,,Melatonin ,2,Socially active,2,
11/12/2022 21:14:25,3:30:00 PM,,,,Melatonin ,1,"Relaxed, Socially active",0,
11/13/2022 21:02:26,11:30:00 AM,5:30:00 PM,2:00:00 PM,,Melatonin ,1,Relaxed,1,
11/14/2022 20:54:06,2:00:00 PM,,,,Melatonin ,1,Relaxed,1,
11/15/2022 21:32:57,9:30:00 AM,,,,Melatonin ,3,Relaxed,1,
11/16/2022 21:05:35,2:30:00 PM,5:30:00 PM,5:30:00 PM,,Melatonin ,2,Relaxed,1,
11/17/2022 20:57:50,2:00:00 PM,5:00:00 PM,,,Melatonin ,2,Relaxed,0,
11/18/2022 21:18:49,2:00:00 PM,6:00:00 PM,5:00:00 PM,,Melatonin ,2,"Relaxed, Socially active",1,
11/19/2022 21:47:10,1:30:00 PM,6:30:00 PM,,8:00:00 PM,Melatonin ,1,"Relaxed, Physically active",0,
11/20/2022 21:10:31,3:00:00 PM,,1:30:00 PM,,Melatonin ,1,Relaxed,1,
11/22/2022 21:13:08,2:00:00 PM,,6:00:00 PM,,Melatonin ,2,Relaxed,2,
