Timestamp,"If you had coffee today, at what time did you take your last cup of coffee?","If you had alcohol today, at what time did you have your last drink?","If you did a workout today, at what time did you do your last workout?","If you did a stress-relieving activity today (meditation, yoga, etc), at what time did you do your last one?",Did you take medication that might affect your sleep?,How much did you eat in the last 3 hours before going to bed?,How would you characterize the activities you did in the last 3 hours before going to bed?,How much stress and/or anxiety do you feel now?,Is there any particular reason why you think you might or might not sleep well tonight?
8/20/2022,,,,,0,0,0,0,0
8/21/2022,,,,,0,4,0,2,0
8/22/2022,,23,,,0,0,2,1,0
8/23/2022,,0.25,,,0,5,2 - 3,1,0
8/25/2022,,20,,,0,4,0,0,0
8/26/2022,,3,15.5,,0,0,2 - 3,0,0
8/27/2022,,,,,0,4,0,0,0
8/28/2022,,18.5,21.5,,0,3,0,0,0
8/30/2022,,,9.5,,0,0,0,0,0
8/31/2022,,19.75,,,0,4,0,0,0
9/1/2022,,,,,0,2,2 - 3,1,0
9/2/2022,,17.25,,,0,5,0,0,0
9/3/2022,,,,,0,1,0,2,0
9/4/2022,,23.75,9.5,,0,0,2 - 3,2,0
9/5/2022,,,,,0,0,0,2,0
9/6/2022,,,7.5,,0,4,0,2,0
9/7/2022,,,21,,0,0,2,1,0
9/8/2022,,,,,0,0,0 - 3,2,0
9/9/2022,,,7.75,,0,0,0,3,0
9/10/2022,,,,,0,0,0,3,0
9/11/2022,,,9.5,,0,0,0,0,1
9/12/2022,,,,,0,4,0,0,0
9/13/2022,,21,7.5,,0,0,2 - 3,0,0
9/14/2022,,20.2,19.5,,0,0,0 - 3,1,1
9/15/2022,,,,,0,2,0,0,0
9/16/2022,,21,8.5,,0,0,0 - 3,0,0
9/17/2022,,,10.1,,0,0,0,0,0
9/18/2022,,,,,0,0,0 - 2 - 3,0,0
9/20/2022,,,,,0,0,0,0,0
9/21/2022,,,21.1,,0,0,2 - 3 ,0,0
9/22/2022,,21.25,,,0,0,2 - 3 ,1,0
9/23/2022,,,,,0,0,0,0,0
9/24/2022,,,10.15,,0,0,0,0,0
9/25/2022,,,,,0,0,0,1,0
9/26/2022,,,8.25,,0,0,0,0,0
9/27/2022,,,,,0,0,0,0,0
9/28/2022,,,20.25,,0,0,2 - 3 ,0,0
9/29/2022,,,,,0,2,0,0,0
9/30/2022,,,9,,0,5,2 - 3 ,0,0
10/1/2022,,,,,0,0,0,1,0
10/2/2022,,,,,0,0,0,1,0
10/3/2022,,,,,0,5,0,1,0
10/4/2022,,,8.25,,0,0,0,1,0
10/5/2022,,,21,,0,0,2 - 3,2,0
10/6/2022,,20.5,,,0,1,2 - 3,2,0
10/7/2022,,,,,0,0,0 - 4,1,0
10/8/2022,,,10.25,,0,2,0,0,0
10/9/2022,,,17.5,,0,4,4,2,0
10/10/2022,,,,,0,0,1 - 2 - 3,0,0
10/11/2022,,,10.35,,0,4,3,0,0
10/12/2022,,,20.3,,0,0,2 - 3,0,0
10/13/2022,,,,,0,0,0,1,0
10/14/2022,,,9.45,,0,3,2 - 3,0,0
10/15/2022,,1,,,0,0,1 - 2 - 3 ,2,0
10/16/2022,,,,,0,3,0,0,0
10/17/2022,,,,,0,0,0,0,0
10/18/2022,,,13.35,,0,0,2 - 3,0,0
10/19/2022,,,20.5,,0,0,2 - 3,0,0
10/20/2022,,,,,0,0,0,1,0
10/21/2022,,,9.1,,0,0,0,0,0
10/22/2022,,16.75,,,0,1,0,0,0
10/23/2022,12.5,,,,0,1,0 - 4,1,0
10/24/2022,,,10,,0,0,0 - 4,0,0
10/25/2022,,,,,0,0,0,0,0
10/26/2022,,,20.5,,0,0,2 - 3 ,0,0
10/27/2022,,,,,0,0,0,1,0
10/28/2022,,21.5,10,,0,3,3,1,0
10/29/2022,,,,,0,5,1 - 2 ,2,0
10/30/2022,,,,,0,0,0 - 2,0,0
10/31/2022,,,,,0,0,0,1,0
11/1/2022,,,8.25,,0,5,1,2,0
11/2/2022,,,,,0,4,4,2,0
11/3/2022,,,,,0,1,0,1,0
11/4/2022,,,,,0,0,0,0,0
11/5/2022,,,,,0,0,0 - 3 - 4,0,0
11/6/2022,,,,,0,0,0,1,0
11/7/2022,11.25,,,,0,0,0 - 3,0,0
11/8/2022,,,,,0,0,1 - 4,1,0
11/9/2022,,,21.25,,0,1,2 - 3,1,0
11/10/2022,,23.5,,,0,0,3,1,0
11/11/2022,,3,,,0,0,1 - 3,0,0
11/12/2022,,2.45,,,0,0,1 - 3,1,0
11/13/2022,,,,,0,0,2,1,0
11/14/2022,,,,,0,0,0,1,0
11/15/2022,,,20.5,,0,0,0,0,0
11/16/2022,,1,20,,0,0,1 - 2 - 3,2,0
11/17/2022,,,,,0,0,0,1,0
11/18/2022,,,,,0,4,4,1,0
,,,,,,,,,
,,For analysis maybe get bedtime then do bedtime - coffee time,Same for alcohol time as coffee,Same for stress relieving activity time as coffee,,,0: Relaxed,,0: normal
,,,,,,,1: Stressful,,1: special circumstances
,,,,,,,2: Physically active,,
,,,,,,,3: Socially active,,
,,,,,,,4: Mentally active,,
